Contestant_Id,Season_Number,Contestant_Name,Episode,Lip_Sync_Number,Wig_Removed,Death_Drop,Outfit_Reveal,Quality_Of_Outfit,Merle,Michelle,Santino,Ross,Carson,Do_They_Know_Words,Outfit_Reveal_1,Gender,Race,Body_Type,Type_Queen,Sewing,Dancing,Singing,Lip_Sync_Ass,Expressed_Hardship,Episode_Number,Episode_Airdate,Episode_Title,Episode_Type,Episode_Maxi_Challenge_Type,Numqueen,Sumqueen,Contestant_Entrance,Age,Hometown_City,Hometown_State,Season_Outcome,Handle_Instagram,Handle_Twitter,Numepisode,Episode_Placement,OUTCOME_LOSS,Season,Nickname,Runwaytheme,Minic,Minicw1,Minicw2,Minicw3,Bottom1,Bottom2,Bottom3,Bottom4,Bottom5,Bottom6,Lipsyncartist,Lipsyncsong,Eliminated1,Eliminated2,Notes,Airdate,Special,Finale,Numqueens,Rank,Contestant,Outcome,Eliminated,Participant,Minichalw,Penultimate,DOB,Hometown,Minicwins,Numcontests,Perc_High,Perc_Win,Perc_Winhigh,Perc_Low,Perc_Btm,Perc_Lowbtm,Num_High,Num_Win,Num_Winhigh,Num_Btm,Num_Low,Num_Lowbtm,Db_Score,Points,PPE
2,1,Nina Flowers,2,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,HIGH,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,2,Nina Flowers,SAFE,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
3,1,Rebecca Glasscock,2,,,,,,,,,,,,,0,2,0,1,1,0,0,1,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,HIGH,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,3,Rebecca Glasscock,SAFE,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
4,1,Ongina,2,,,,,,,,,,,,,0,3,0,2,1,1,0,0,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,WIN,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,5,Ongina,WIN,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
5,1,Victoria Porkchop Parker,2,,,,,,,,,,,,,0,0,2,1,0,0,0,0,0,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,5,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ,9,,,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Akashia,2,,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,BTM2,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,7,Akashia,BTM,0,1,0,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
7,1,Tammie Brown,2,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,7,36,Long Beach,California,8,planettammie,thetammiebrown,9,ELIM,1,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,8,Tammie Brown,BTM,1,1,0,0,7563,"Los Angeles, California",0,2,0,0,0,0,0.5,0.5,0,0,0,1,0,1,-2,-2,-1
8,1,Jade,2,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,8,32,Chicago,Illinois,6,jadesotomayor,SotomayorJade,9,SAFE,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,6,Jade,SAFE,0,1,0,0,9088,"Chicago, Illinois",1,4,0,0,0,0.25,0.25,0.5,0,0,0,1,1,2,-3,-3,-0.75
9,1,BeBe Zahara Benet,2,,,,,,,,,,,,,0,1,0,2,1,0,1,1,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,9,28,Minneapolis,Minnesota,1,bebezahara,BeBeZaharaBenet,9,SAFE,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,1,BeBe Zahara Benet,SAFE,0,1,0,0,7749,"Minneapolis, Minnesota",0,6,0.166666667,0.333333333,0.5,0,0.166666667,0.166666667,1,2,3,1,0,1,3,3,0.5
1,1,Shannel,3,,1,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,BTM2,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,4,Shannel,BTM,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
2,1,Nina Flowers,3,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,HIGH,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,2,Nina Flowers,HIGH,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
3,1,Rebecca Glasscock,3,,,,,,,,,,,,,0,2,0,1,1,0,0,1,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,SAFE,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,3,Rebecca Glasscock,HIGH,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
4,1,Ongina,3,,,,,,,,,,,,,0,3,0,2,1,1,0,0,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,HIGH,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,5,Ongina,HIGH,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
5,1,Victoria Porkchop Parker,3,,,,,,,,,,,,,0,0,2,1,0,0,0,0,0,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,5,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ,9,,,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Akashia,3,,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,ELIM,1,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,7,Akashia,BTM,1,1,0,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
7,1,Tammie Brown,3,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,7,36,Long Beach,California,8,planettammie,thetammiebrown,9,,,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,8,Tammie Brown,NA,NA,0,NA,0,7563,"Los Angeles, California",0,2,0,0,0,0,0.5,0.5,0,0,0,1,0,1,-2,-2,-1
8,1,Jade,3,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,8,32,Chicago,Illinois,6,jadesotomayor,SotomayorJade,9,LOW,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,6,Jade,LOW,0,1,0,0,9088,"Chicago, Illinois",1,4,0,0,0,0.25,0.25,0.5,0,0,0,1,1,2,-3,-3,-0.75
9,1,BeBe Zahara Benet,3,,,,,,,,,,,,,0,1,0,2,1,0,1,1,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,9,28,Minneapolis,Minnesota,1,bebezahara,BeBeZaharaBenet,9,WIN,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,1,BeBe Zahara Benet,WIN,0,1,0,0,7749,"Minneapolis, Minnesota",0,6,0.166666667,0.333333333,0.5,0,0.166666667,0.166666667,1,2,3,1,0,1,3,3,0.5
1,1,Shannel,4,,,,,,,,,,,,,0,0,0,2,1,0,0,0,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,LOW,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,4,Shannel,LOW,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
2,1,Nina Flowers,4,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,HIGH,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,2,Nina Flowers,HIGH,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
3,1,Rebecca Glasscock,4,,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,0,0,1,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,BTM2,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,3,Rebecca Glasscock,BTM,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
4,1,Ongina,4,,,,,,,,,,,,,0,3,0,2,1,1,0,0,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,WIN,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,5,Ongina,WIN,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
5,1,Victoria Porkchop Parker,4,,,,,,,,,,,,,0,0,2,1,0,0,0,0,0,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,5,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ,9,,,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Akashia,4,,,,,,,,,,,,,0,1,0,2,0,0,0,1,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,,,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,7,Akashia,NA,NA,0,NA,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
7,1,Tammie Brown,4,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,7,36,Long Beach,California,8,planettammie,thetammiebrown,9,,,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,8,Tammie Brown,NA,NA,0,NA,0,7563,"Los Angeles, California",0,2,0,0,0,0,0.5,0.5,0,0,0,1,0,1,-2,-2,-1
8,1,Jade,4,,0,0,0,0,1,0,1,0,0,1,0,0,2,0,2,1,1,0,0,0,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,8,32,Chicago,Illinois,6,jadesotomayor,SotomayorJade,9,ELIM,1,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,6,Jade,BTM,0,1,1,0,9088,"Chicago, Illinois",1,4,0,0,0,0.25,0.25,0.5,0,0,0,1,1,2,-3,-3,-0.75
9,1,BeBe Zahara Benet,4,,,,,,,,,,,,,0,1,0,2,1,0,1,1,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,9,28,Minneapolis,Minnesota,1,bebezahara,BeBeZaharaBenet,9,HIGH,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,1,BeBe Zahara Benet,HIGH,0,1,0,0,7749,"Minneapolis, Minnesota",0,6,0.166666667,0.333333333,0.5,0,0.166666667,0.166666667,1,2,3,1,0,1,3,3,0.5
1,1,Shannel,5,,,,,,,,,,,,,0,0,0,2,1,0,0,0,1,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,HIGH,0,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,4,Shannel,HIGH,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
2,1,Nina Flowers,5,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,LOW,0,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,2,Nina Flowers,LOW,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
3,1,Rebecca Glasscock,5,,,,,,,,,,,,,0,2,0,1,1,0,0,1,1,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,WIN,0,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,3,Rebecca Glasscock,WIN,0,1,1,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
4,1,Ongina,5,,0,0,0,0,1,0,1,0,0,1,0,0,3,0,2,1,1,0,0,1,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,ELIM,1,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,5,Ongina,BTM,1,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
5,1,Victoria Porkchop Parker,5,,,,,,,,,,,,,0,0,2,1,0,0,0,0,0,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,5,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ,9,,,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Akashia,5,,,,,,,,,,,,,0,1,0,2,0,0,0,1,1,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,6,32,Cleveland,Ohio,7,akashiadrag,DragAkashia,9,,,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,7,Akashia,NA,NA,0,NA,0,9181,"Cleveland, Ohio",1,3,0,0,0,0,1,1,0,0,0,3,0,3,-6,-6,-2
7,1,Tammie Brown,5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,7,36,Long Beach,California,8,planettammie,thetammiebrown,9,,,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,8,Tammie Brown,NA,NA,0,NA,0,7563,"Los Angeles, California",0,2,0,0,0,0,0.5,0.5,0,0,0,1,0,1,-2,-2,-1
8,1,Jade,5,,,,,,,,,,,,,0,2,0,2,1,1,0,0,0,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,8,32,Chicago,Illinois,6,jadesotomayor,SotomayorJade,9,,,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,6,Jade,NA,NA,0,NA,0,9088,"Chicago, Illinois",1,4,0,0,0,0.25,0.25,0.5,0,0,0,1,1,2,-3,-3,-0.75
